Year,Season,FF-HadRM3-Q0_afgcx,FF-HadRM3-Q3_afixa,FF-HadRM3-Q4_afixc,FF-HadRM3-Q6_afixh,FF-HadRM3-Q9_afixi,FF-HadRM3-Q8_afixj,FF-HadRM3-Q10_afixk,FF-HadRM3-Q14_afixl,FF-HadRM3-Q11_afixm,FF-HadRM3-Q13_afixo,FF-HadRM3-Q16_afixq
2044,JJA,81.34173333333334,70.69806666666666,87.11076666666668,82.6742,82.85210000000001,82.23123333333334,81.24893333333334,83.73746666666666,80.8456,81.63986666666666,85.13619999999999
2044,SON,78.95643333333334,69.69046666666667,82.60003333333333,79.92623333333334,79.889,80.50786666666667,79.14229999999999,80.4012,78.50693333333334,79.09103333333333,82.14796666666666
2045,DJF,83.2572,75.99646666666666,80.31413333333334,76.82786666666668,78.17326666666666,78.28573333333333,80.35256666666668,77.4597,78.93633333333334,77.85746666666667,79.71703333333333
2045,MAM,87.31876666666666,81.86023333333334,81.89030000000001,78.23396666666666,78.32613333333333,81.8325,83.06213333333334,79.58326666666666,84.67426666666667,83.71583333333334,84.33843333333333
2045,JJA,83.14216666666667,80.04623333333333,85.77406666666667,78.47966666666666,79.99146666666667,81.86806666666666,83.4377,78.8113,81.75946666666665,81.49096666666667,82.25343333333333
2045,SON,80.0702,77.87383333333334,84.05309999999999,76.5813,79.86736666666667,79.42043333333334,81.9112,76.85036666666667,79.17533333333334,78.98513333333334,79.50953333333334
2046,DJF,78.81406666666668,76.07396666666666,84.2152,77.24693333333333,82.46913333333333,79.05606666666667,81.9287,79.9375,78.573,77.88940000000001,77.5877
2046,MAM,82.08293333333333,79.4095,88.8684,85.40286666666667,87.33086666666667,84.6407,84.51416666666667,86.0551,84.58330000000001,79.49506666666667,81.01543333333333
2046,JJA,81.88933333333334,79.02913333333333,84.98156666666667,85.08013333333334,83.23356666666668,82.51723333333332,81.55386666666666,83.95106666666668,83.87383333333334,79.08736666666665,80.33193333333334
2046,SON,79.56516666666666,77.20556666666666,82.58993333333333,81.0922,81.16256666666668,79.7109,81.62756666666667,80.5269,80.48566666666666,77.3602,78.29046666666666
2047,DJF,77.95190000000001,77.02613333333333,82.00776666666667,78.62310000000001,78.47166666666666,80.08786666666667,78.6741,79.0976,78.92316666666666,78.0115,79.18156666666667
2047,MAM,83.02573333333333,77.60323333333334,86.1066,80.66956666666665,80.2266,82.57653333333333,79.5124,86.10419999999999,81.51133333333333,81.00353333333334,82.9487
2047,JJA,80.90596666666666,78.78636666666667,85.29306666666666,83.76793333333335,79.78803333333333,80.64696666666667,78.07583333333334,82.31443333333333,81.37373333333333,81.53666666666668,82.34176666666667
2047,SON,78.57493333333333,79.67996666666666,82.72506666666668,80.55373333333334,77.6616,78.35226666666667,76.80016666666667,79.54946666666666,80.19813333333333,80.61266666666667,82.77666666666666
2048,DJF,78.88263333333333,81.63656666666667,80.72673333333334,79.04553333333332,77.80739999999999,77.54116666666667,79.94959999999999,77.6055,80.47180000000002,78.71303333333334,80.29379999999999
2048,MAM,85.41186666666665,83.49996666666667,81.80186666666667,81.33943333333333,81.62049999999999,80.1673,84.76299999999999,82.62373333333333,86.49653333333333,83.43156666666665,84.54073333333334
2048,JJA,83.2044,82.52036666666667,82.98903333333332,81.1605,82.21513333333333,80.6483,83.41403333333334,80.99566666666666,82.8747,82.32516666666668,84.7057
2048,SON,80.1017,79.89059999999999,80.9174,79.10790000000001,79.88013333333333,80.07376666666666,84.4753,78.62053333333334,79.90273333333333,79.8968,81.54213333333333
2049,DJF,78.40066666666667,80.68583333333333,78.07053333333333,79.6361,79.40433333333333,79.41546666666666,81.5997,77.40570000000001,77.53930000000001,76.8528,79.53316666666666
2049,MAM,82.32626666666667,83.28666666666668,79.77926666666667,84.31966666666666,85.16713333333333,82.90906666666666,82.41016666666667,75.80056666666667,78.93266666666666,78.9444,81.31703333333333
2049,JJA,82.76093333333334,82.27120000000001,78.69189999999999,85.2774,83.5543,83.11280000000001,83.8633,78.86283333333333,80.79673333333334,77.9722,82.24073333333332
2049,SON,80.086,84.0146,76.97043333333333,81.50823333333334,80.3053,81.45973333333333,82.76979999999999,80.71233333333333,78.95446666666666,76.1398,82.19873333333334
2050,DJF,80.26096666666666,80.12966666666667,78.64460000000001,80.2856,78.7117,79.3403,80.12973333333333,77.8744,77.9722,75.17263333333334,78.56663333333334
2050,MAM,83.89966666666668,81.9134,83.383,85.77443333333333,82.05483333333333,83.54233333333333,84.43236666666667,80.15266666666666,80.25113333333333,78.29293333333334,80.68443333333333
2050,JJA,80.89103333333334,80.46553333333333,82.37036666666667,82.81596666666667,81.96730000000001,80.82553333333333,81.7795,80.32333333333334,78.35866666666666,79.18573333333333,79.41199999999999
2050,SON,78.54116666666665,78.31920000000001,81.18246666666667,80.18703333333333,79.427,78.49096666666667,79.28953333333334,78.0967,77.86733333333333,77.1735,77.35056666666667
2051,DJF,76.2083,78.62433333333333,84.06403333333333,79.77433333333333,80.48206666666667,77.24243333333334,76.45433333333334,76.22043333333333,77.47766666666666,75.79236666666667,76.9123
2051,MAM,75.90886666666667,82.3855,88.33793333333334,84.65056666666668,85.61923333333334,78.52563333333335,77.53216666666667,78.6045,80.8723,79.00376666666666,80.08890000000001
2051,JJA,78.01493333333333,81.2256,83.72116666666666,85.49203333333332,82.2548,77.68,77.53346666666667,76.89616666666667,78.71923333333334,78.69283333333334,82.5406
2051,SON,76.83333333333333,79.5343,80.39463333333333,81.61386666666667,80.03563333333334,78.18036666666666,75.84559999999999,75.68533333333333,76.7701,76.74816666666668,80.15693333333333
2052,DJF,76.8467,78.88753333333334,83.31826666666667,83.23783333333334,80.38016666666667,77.87976666666667,76.26633333333334,77.84436666666666,77.73826666666666,76.8968,79.9755
2052,MAM,80.0149,81.67703333333334,88.6749,83.9351,87.29393333333333,81.96966666666667,80.30846666666666,84.7357,83.20793333333334,81.26633333333332,84.03566666666667
2052,JJA,83.04690000000001,81.75123333333333,83.678,80.87666666666667,84.21216666666668,80.95456666666666,79.29703333333333,82.20866666666667,82.90276666666666,80.52516666666666,84.01846666666667
2052,SON,80.9892,81.11343333333333,80.5204,78.62603333333333,80.65753333333333,78.62033333333333,77.4997,80.12336666666666,80.5098,78.3309,81.31173333333334
2053,DJF,78.3843,82.53476666666667,80.73433333333332,83.54020000000001,79.84103333333333,76.6789,80.26263333333334,78.58986666666668,80.3108,75.94863333333333,80.76993333333333
2053,MAM,81.19166666666666,88.27366666666667,83.93706666666667,87.76886666666667,83.5834,79.3902,81.42273333333333,79.62146666666666,84.68176666666666,78.22436666666667,84.9192
2053,JJA,79.6177,84.76886666666667,83.1031,82.7341,81.1592,78.82933333333334,82.27730000000001,83.27243333333332,83.70906666666667,78.3909,81.71476666666666
2053,SON,77.88546666666667,82.66776666666667,80.0628,79.8165,79.23393333333333,77.00373333333333,81.21746666666667,80.6888,80.904,76.49310000000001,79.43556666666666
